'IBIO ANV LAKE APT Happy New Year May bring love peace joy enormous brokerage account',1
'BBEP LF CVEO FSLR SAFM EW CAMP COH KORS AMBA AVAV PACB Happy investing happy new year lets welcome new year gains',1
'IMRS httpstkscoeRGY \xe2\x80\xa6will give newbies information company\xe2\x80\xa6good interview CEOwatch u time',1
'Prediction After yr s SBUX next stock following execution new initiatives Dont bet Schultz',1
'EGRX MGNX FMI SGEN ARRY want em',1
'BBRY Team Canadann',1
'AAPL Just dropped phone fire Damn still works screen little messed',1
'SPX httpstkscogVg Wave cgt truncated th FAT CATS quotTIMEquot play next week httpstkscoqDhN',1
'Sliver SLV GLD GDX Do write sweet hype tweets notebook Theyre powerful',1
'SLV Sliver You bullish',1
'Prediction quotPricing warsquotin biotech space doesnt prevent sector another great year IBB BIB GILD CELG REGN ISIS BIIB',1
'Prediction Energy stocks oilampgas rebound leading sector upside oil back year end XLE BP SLB OXY',1
'SLV GLD Sliver Thanks trade idea I bot March gold April silver calls',1
'SGOC nice buyout aiming gap Friday morning',1
'Prediction Not signing Kevin Durant doesnt prevent UA signing huge NBA star longterm sponsorship sneaker deal',1
'NQ Let buyback begin How buy less When its',1
'ZGNX Make Break year guys would like see dip add shares Got faith',1
'UGAZ natty saleand im gonna keep buying',1
'MNKD Been bear long however seems like its time buy pt Good luck happy new year',1
'RXII Happy new year all',1
'Investment Themes I continue like quickserve restaurants lower gas confident consumer huge tailwind PNRA BWLD CMG',1
'SBUX',1
'Investment Themes Be selective exposure oilampgas sector BP SLB COP RDSA KMI OXY',1
'BABA go green Monday easily',1
'CVEO This going POP Friday',1
'RXII better show company updates like Retinoblastoma mac degeneration along new scar data',1
'KKR httpstkscosDYu Big pay Walgreen',1
'Please dont exposed long positions going January Unless truly LT wont spooked selling SPY qqq IWM',0
'Investment Themes The american consumer confident AAPL V PAY MA AXP UA M TJXC PVH GIII DIS',1
'thrfty OleJoeClark FrothDog quite bit PLUG hits high pps I happy man complaints',1
'EYES Implant retina size grain salt explode like payperclicks No Trek Mt Everest peak day Ahh No',1
'UGAZ DGAZ Happy New Year NG traders httpstkscogVo',1
'quotAlwaysNeedHelp TWTR Anyone else see bought GOOG YHOO quot',1
'RELION energy PLUG power company partners hoppecketoday largest manufacturer industrial batteries world',1
'AAPL TSLA GILD CELG BABA SCTY RIG WFM BA HAPPY NEW YEAR ALL BULLS BEARS',1
'UGAZ Get This isnt controlled govt Its strictly OVER PRODUCTION Weather means nothing NG going',0
'ACHN nicely AH looking breakout next week',1
'crme long grenade news blows Should matter time blast Base proper Like Titos n diet ICETEA',1
'CVEO def going Friday Our prediction software alerted users correctly similar stock BCLI today httpstkscoeRGf',1
'AAPL To military service members overseas may new year bring home safe loved ones Go AAPL',1
'ZNGA Happy New Years strong zynga longs May year green',1
'FSLR Shorting going long SCTY Going momentum strength',0
'LGF Bought hope mistake GLL',1
'ZNGA When last time saw two zynga games top free games chart Pretty Damn long httpstkscosDZ',1
