tweet,stated_sentiment,blob_polarity,blob_subjectivity
SPX httpstkscogVg Wave cgt truncated th FAT CATS quotTIMEquot play next week httpstkscoqDhN,Bullish,0.0,0.0
Sliver SLV GLD GDX Do write sweet hype tweets notebook Theyre powerful,Bullish,0.32499999999999996,0.825
SLV Sliver You bullish,Bullish,0.0,0.0
Prediction quotPricing warsquotin biotech space doesnt prevent sector another great year IBB BIB GILD CELG REGN ISIS BIIB,Bullish,0.8,0.75
Prediction Energy stocks oilampgas rebound leading sector upside oil back year end XLE BP SLB OXY,Bullish,0.0,0.0
SLV GLD Sliver Thanks trade idea I bot March gold April silver calls,Bullish,0.2,0.2
SGOC nice buyout aiming gap Friday morning,Bullish,0.6,1.0
Prediction Not signing Kevin Durant doesnt prevent UA signing huge NBA star longterm sponsorship sneaker deal,Bullish,0.4000000000000001,0.9
NQ Let buyback begin How buy less When its,Bullish,-0.16666666666666666,0.06666666666666667
ZGNX Make Break year guys would like see dip add shares Got faith,Bullish,0.0,0.0
UGAZ natty saleand im gonna keep buying,Bullish,0.0,0.0
MNKD Been bear long however seems like its time buy pt Good luck happy new year,Bullish,0.3965909090909091,0.6136363636363636
RXII Happy new year all,Bullish,0.4681818181818182,0.7272727272727273
Investment Themes I continue like quickserve restaurants lower gas confident consumer huge tailwind PNRA BWLD CMG,Bullish,0.45000000000000007,0.8666666666666667
SBUX,Bullish,0.0,0.0
Investment Themes Be selective exposure oilampgas sector BP SLB COP RDSA KMI OXY,Bullish,0.0,0.0
BABA go green Monday easily,Bullish,0.11666666666666667,0.5666666666666667
CVEO This going POP Friday,Bullish,0.0,0.0
RXII better show company updates like Retinoblastoma mac degeneration along new scar data,Bullish,0.3181818181818182,0.4772727272727273
KKR httpstkscosDYu Big pay Walgreen,Bullish,0.0,0.1
Please dont exposed long positions going January Unless truly LT wont spooked selling SPY qqq IWM,Bearish,-0.05,0.4
Investment Themes The american consumer confident AAPL V PAY MA AXP UA M TJXC PVH GIII DIS,Bullish,0.25,0.4166666666666667
thrfty OleJoeClark FrothDog quite bit PLUG hits high pps I happy man complaints,Bullish,0.48000000000000004,0.77
EYES Implant retina size grain salt explode like payperclicks No Trek Mt Everest peak day Ahh No,Bullish,0.0,0.0
UGAZ DGAZ Happy New Year NG traders httpstkscogVo,Bullish,0.4681818181818182,0.7272727272727273
quotAlwaysNeedHelp TWTR Anyone else see bought GOOG YHOO quot,Bullish,0.0,0.0
RELION energy PLUG power company partners hoppecketoday largest manufacturer industrial batteries world,Bullish,0.0,0.0
AAPL TSLA GILD CELG BABA SCTY RIG WFM BA HAPPY NEW YEAR ALL BULLS BEARS,Bullish,0.4681818181818182,0.7272727272727273
UGAZ Get This isnt controlled govt Its strictly OVER PRODUCTION Weather means nothing NG going,Bearish,0.0,0.0
ACHN nicely AH looking breakout next week,Bullish,0.3,0.5
crme long grenade news blows Should matter time blast Base proper Like Titos n diet ICETEA,Bullish,-0.2833333333333334,0.5
CVEO def going Friday Our prediction software alerted users correctly similar stock BCLI today httpstkscoeRGf,Bullish,0.0,0.4
AAPL To military service members overseas may new year bring home safe loved ones Go AAPL,Bullish,0.3090909090909091,0.4636363636363637
ZNGA Happy New Years strong zynga longs May year green,Bullish,0.2924242424242424,0.621969696969697
FSLR Shorting going long SCTY Going momentum strength,Bearish,-0.05,0.4
LGF Bought hope mistake GLL,Bullish,0.0,0.0
ZNGA When last time saw two zynga games top free games chart Pretty Damn long httpstkscosDZ,Bullish,0.21999999999999997,0.5533333333333333
CSIQ This I talking folks httpstkscojVX,Bullish,0.0,0.0
SLB Closed bought puts Close confirms DT amp needs happen next days Im wrong amp close position,Bearish,-0.19999999999999998,0.3333333333333333
GLD Happy new year degenerate compulsive gambler friends May gold shine FML,Bullish,0.4681818181818182,0.7272727272727273
FEYE everyone looking invest cyber security Avoid crowd stay short year retail cheap gas,Bearish,0.2,0.5
JBLU insider selling big deal Right new year Tax move imo,Bullish,0.14069264069264067,0.3634199134199134
AAPL Happy New Year Bulls That acct everyone since I know Bears really cheap Bulls,Bullish,0.4454545454545455,0.7181818181818181
VA Happy New Year VA show us s,Bullish,0.4681818181818182,0.7272727272727273
Freakin Bears always tryin pick fresh set aapl shares less grand,Bullish,0.2111111111111111,0.5222222222222223
COOL time go,Bearish,0.35,0.65
VHC Will rock HNY long timers,Bullish,-0.05,0.4
CSIQ pick bldg Ontario httpstkscodRs,Bullish,0.0,0.0
CVEO Anyone wants slap friday I triple dog dare,Bullish,0.2,0.1
quotSanvisor AAPL To military service members overseas may new year bring home safe loved ones Go AAPLquot,Bullish,0.3090909090909091,0.4636363636363637
AAPL year TIm Cooks empire fall sorry TC cannot innovate need new CEO Apple,Bearish,-0.18181818181818182,0.7272727272727273
UVXY days,Bearish,0.0,0.0
RNN happy new year RNN future winners,Bullish,0.31212121212121213,0.5265151515151515
SPY Bears showing coal like its diamondswrong diamndsThnxnuthin Santa I bearish momentsBUT SPY Kicked A Period,Bullish,0.0,0.0
IBIO HNY,Bullish,0.0,0.0
UGAZ Global glut Lng projects cancel United States Technology awesome They even trigger earthquakes Lol,Bearish,0.6,0.5666666666666667
SPY shhhhh dont tell anyone late janfeb dropgapsamprip ups comingSanta got GoPro crystal Ballit seize fUcher,Bullish,-0.3,0.6
KNDI I find interesting CNBC interview right gets going,Bullish,0.39285714285714285,0.5178571428571428
UGAZ Obama administration even approving oil exports Thats good extracting oil ngsurplus huge Buy dgaz,Bearish,0.55,0.75
RSH AAPL Apple buy Radioshack start pushing entire line products,Bullish,0.0,0.625
UGAZ last year easy figure Just track weather easy play Now even weather helps,Bearish,0.2888888888888889,0.5777777777777778
SLCA EMES HCLP quotDemand For Frac Sand Still Strong Despite Drop In Oil Prices Producers Sayquot httpstkscoeRGx,Bullish,0.4333333333333333,0.7333333333333333
IBIO Theyll eat garbage rest days Could even take A pathetic bunch looser like Shicitzo,Bullish,-1.0,1.0
DividendTwit SDTrader BP I big guy Dollar cost averaging loving life When oil rebounds laughing,Bullish,0.3,0.525
UGAZ Bears still,Bullish,0.0,0.0
BABA last perspective year Currently consolidating Maintaining LT bullish stance BABAZILLA BTMFD httpstkscotDqT,Bullish,0.0,0.23333333333333334
ARIA Happy New Year longs shorts Wishing better,Bullish,0.4787878787878788,0.6515151515151515
EOX Im gonna touch stock around Late Jan Feb,Bearish,-0.3,0.6
TWTR Gotta better Still profitable near,Bullish,0.3,0.45
TWENTY get ready RAIL CAR COMEBACK TRN GBX ARII Strattonite,Bullish,0.2,0.5
UGAZ I guess MM wants kill ng Many reasons Dgaz play since weather factor anymore Right Lng projects cancel,Bearish,0.32857142857142857,0.37857142857142856
TWENTY BABA eat shorts lunch gt consolidationdip JanFeb road BABAZILLA httpstkscopEn,Bullish,0.0,0.0
HLF Does anyone actually believe Ackman tells truth HLF quotBill Ackman Says Herbalifes Business Is Decliningquot,Bullish,0.0,0.1
UGAZ MM publicly stating want ng go I think serious,Bearish,-0.16666666666666666,0.36666666666666664
FB Here Top Branded Instagram Videos httpstkscoeRH WhatsApp amp Instagram huge growth httpstkscohVB,Bullish,0.45000000000000007,0.7
DGAZ,Bullish,0.0,0.0
PLUG power FB page picture birthday cakes slices andy trying tell us something wasnt,Bullish,0.0,0.0
RSH WOW even LOOKED httpstkscoaRw,Bullish,0.1,1.0
JDST quotmilliondollarsThe last time miners held steadyquotquotdespite gold silver faded lower laterquot,Bullish,0.0,0.06666666666666667
GALE bullish Interesting holding p shares,Bullish,0.5,0.5
quotlcc BABA last perspective year Currently consolidating Maintaining LT bullish stancehttpstkscotDqTquot,Bullish,0.0,0.23333333333333334
RSH httpstkscohVBC,Bullish,0.0,0.0
TWENTY Plenty cyber companies come focus Here two potential LT cyber plays FEYE LOCK httpstkscopEs,Bullish,0.0,1.0
VIX Strong SPX DIA QQQ bearish triangles forming MOMO indicators hard use last month httpstkscohVBD,Bearish,0.0472222222222222,0.4472222222222222
PAL,Bullish,0.0,0.0
TWTR prime candidate takeover many big players showing interest expand social mediacould play well,Bullish,0.17777777777777778,0.2222222222222222
DJIA ADX minus DI crossed plus DISlow Stochastic bought territory More details httpstkscogVD,Bearish,0.2,0.3
DWTI This mil bet on ask oil going even didnt go unnoticed last hour today httpstkscojVr,Bullish,-0.1,0.3333333333333333
SPX ADX minus DI crossed plus DI Values Slow Stochastic bought Details httpstkscopEu,Bearish,-0.2,0.25
DDD beat still industry poised growth next yearsLong position mids good,Bullish,0.35,0.30000000000000004
KNDI Ben R tool Happy new year good luck KNDI investment next year,Bullish,0.40909090909090906,0.5136363636363637
ARWR could trigger short squeeze big volume comes fridaylove chart upside move httpstkscoeRH,Bullish,0.0,0.2
COMPQ Slow Stochastic boughtADX minus DI crossed plus DI Values More httpstkscojVt,Bearish,0.033333333333333326,0.3333333333333333
FB looks handle cup,Bullish,0.0,0.0
LOCO Whenever truly bottoms great investment may double However trying call bottom anyones guess,Bullish,0.4,0.375
SHLX soaring,Bullish,0.0,0.0
STUDY Beware stocks continually disappoint downtrending Ex CYBR MBLY MNKD RWLK SCTY LOCO JMEI GPRO GLUU EYES SWHC,Bearish,0.0,0.0
AAPL Chaikin Money Flow stock Strong Selling pressure CMF Details httpstkscojVu,Bearish,0.4333333333333333,0.7333333333333333
FB Details httpstkscoiUu,Bearish,0.0,0.0
ANET Ciscos john chambers boot neck lawsuit,Bearish,0.0,0.0
TWENTY Fox amp Small Business Folk realize Obama cant elected rd time amp rejoice get bullish America SPLS,Bullish,-0.25,0.4
MIK Showing good relative strength day moving average httpstkscofVBn,Bullish,0.18333333333333332,0.3333333333333333
AAPL Weekly Cup n handle target When July timestamped httpstkscocRB,Bullish,0.0,0.0
YHOO Tax news could come anytime,Bullish,0.0,0.0
Not surprising IV rising We still trend though Im looking bullish income trades SPX httpstkscobRAw,Bullish,-0.35,0.5
quotSL The hottest IPOs KITE TUBE GPRO ETC httpstkscodRquot,Bullish,0.0,0.0
Strong despite market action today also TUBE quotupsidetrader KITE area top channel breaking flag httpstkscocRBquot,Bullish,0.3444444444444444,0.4444444444444444
WDC Long since  need I say more,Bullish,0.225,0.45
GLUU anyone think mobile gaming lousy business Show company space whos stock kicking butt,Bearish,-0.5,0.5
FB httpstkscodR quot global growth percent It projects percent growth US next yearquot FB buy point,Bullish,0.0,0.0
FB Expect Market continue its march higher Let bears make hand weak hesitate lose,Bullish,-0.0625,0.5625
UGAZ Mark words Ugaz s end Feb Or mids march Uncle nasa doesnt lie weather changes hours cold air pressure wild,Bullish,-0.25,0.7
AAPL iWatch going steamroll Samsung They lost couldnt copy Apple released bum gadget fail,Bullish,-0.5,0.29999999999999993
FB What company stands gain growing global economy FB More money AD spent FB get,Bullish,0.13333333333333333,0.19999999999999998
BCRX sales basically bonus start business thats reward plenty involvement,Bullish,0.0,0.0
KNDI Will see soon,Bullish,0.0,0.0
AAPL Apple outperform GoogleIn timestamped gprimpEnterprises,Bullish,0.0,0.0
stocktwits make inov page They cloud based data analytics company healthcare industry ims data bnft cslt,Bullish,0.0,0.0
AAPL Colin Gillis bum Fade,Bearish,0.0,0.0
VIX I mean I know bit abt animal avg CMT even I didnt see pt move coming SPX decline SPY,Bearish,-0.3125,0.6875
inov IPO hot cloud based data analytics healthcare industry Similar veev ims bnft hqy,Bullish,0.125,0.625
GILD Best performing stock sector lowest PE Really get easier investor,Bullish,0.6,0.25
UGAZ bot really thought would low day looking scalp friday unless magic happens,Bullish,0.2333333333333333,0.5
BBRY Kofi nonsense BS SA must desperate,Bullish,-0.6,1.0
Going ADMA CYTR IDRA ALXN MHR NPSP RMTI STML ISR LPCN VIPS DARA MSTX TTOO,Bullish,0.0,0.0
CPRX Way overweight Will lighten position tomorrow almost half since news Selling break even slightly positive positions,Bullish,0.030303030303030304,0.356060606060606
CPRX Will remain largest position Keeping shares,Bullish,0.0,0.0
NZDUSD Time BreakEven If shorted pair Price reached extension expected If trade httpstkscosDZO,Bearish,-0.1,0.4
DomLuminous puts I sell V naked puts,Bullish,0.0,0.4
DSKY DSKY banner monster,Bullish,0.0,0.0
HAPPY NEW YEAR TO ALL I want Millionaire BAA PAL JCP OIBR APP DUST NUGT httpstkscorDsp,Bullish,0.4681818181818182,0.7272727272727273
GILD Wednesdays shorts httpstkscoaRC,Bullish,0.0,0.0
SLV even nastier looking GLD,Bearish,0.0,0.0
PLUG happy newyear friends big things happening us godbless watching Elton john singing still standing,Bullish,0.4,0.55
PLUG still standing yeah yeah yeah,Bullish,0.0,0.0
AAPL Viernes Friday Paraskevi Greek,Bullish,0.0,0.0
ARIA Happy New Year everyone,Bullish,0.4681818181818182,0.7272727272727273
