tweet,stated_sentiment,blob_NB_classification,blob_NB_p_pos,blob_NB_p_neg
TWENTY get ready RAIL CAR COMEBACK TRN GBX ARII Strattonite,Bullish,pos,0.6647765801810368,0.3352234198189621
UGAZ I guess MM wants kill ng Many reasons Dgaz play since weather factor anymore Right Lng projects cancel,Bearish,neg,0.4319450875577905,0.5680549124422086
TWENTY BABA eat shorts lunch gt consolidationdip JanFeb road BABAZILLA httpstkscopEn,Bullish,neg,0.3347823469416665,0.6652176530583325
HLF Does anyone actually believe Ackman tells truth HLF quotBill Ackman Says Herbalifes Business Is Decliningquot,Bullish,pos,0.7320379208714939,0.2679620791285067
UGAZ MM publicly stating want ng go I think serious,Bearish,neg,0.29088354133227984,0.7091164586677203
FB Here Top Branded Instagram Videos httpstkscoeRH WhatsApp amp Instagram huge growth httpstkscohVB,Bullish,pos,0.6655201028578344,0.3344798971421647
DGAZ,Bullish,pos,0.5,0.5
PLUG power FB page picture birthday cakes slices andy trying tell us something wasnt,Bullish,neg,0.22852649981569054,0.7714735001843096
RSH WOW even LOOKED httpstkscoaRw,Bullish,neg,0.2297001796700408,0.7702998203299589
JDST quotmilliondollarsThe last time miners held steadyquotquotdespite gold silver faded lower laterquot,Bullish,pos,0.6390875841527078,0.3609124158472907
GALE bullish Interesting holding p shares,Bullish,pos,0.8127938517179029,0.1872061482820973
quotlcc BABA last perspective year Currently consolidating Maintaining LT bullish stancehttpstkscotDqTquot,Bullish,pos,0.9135268868686583,0.08647311313134268
RSH httpstkscohVBC,Bullish,pos,0.5,0.5
TWENTY Plenty cyber companies come focus Here two potential LT cyber plays FEYE LOCK httpstkscopEs,Bullish,neg,0.315260839151321,0.6847391608486781
VIX Strong SPX DIA QQQ bearish triangles forming MOMO indicators hard use last month httpstkscohVBD,Bearish,pos,0.8117777694265722,0.18822223057342763
PAL,Bullish,pos,0.5833333333333336,0.4166666666666665
TWTR prime candidate takeover many big players showing interest expand social mediacould play well,Bullish,pos,0.7240950219548286,0.27590497804516967
DJIA ADX minus DI crossed plus DISlow Stochastic bought territory More details httpstkscogVD,Bearish,pos,0.5763837069512086,0.42361629304879334
DWTI This mil bet on ask oil going even didnt go unnoticed last hour today httpstkscojVr,Bullish,pos,0.7085715897260718,0.29142841027392963
SPX ADX minus DI crossed plus DI Values Slow Stochastic bought Details httpstkscopEu,Bearish,pos,0.664695844747284,0.3353041552527182
DDD beat still industry poised growth next yearsLong position mids good,Bullish,neg,0.48024424734592847,0.5197557526540711
KNDI Ben R tool Happy new year good luck KNDI investment next year,Bullish,pos,0.926572731928557,0.0734272680714436
ARWR could trigger short squeeze big volume comes fridaylove chart upside move httpstkscoeRH,Bullish,neg,0.14148933786090154,0.8585106621390964
COMPQ Slow Stochastic boughtADX minus DI crossed plus DI Values More httpstkscojVt,Bearish,neg,0.35846246365542633,0.6415375363445728
FB looks handle cup,Bullish,neg,0.25149662105880743,0.748503378941192
LOCO Whenever truly bottoms great investment may double However trying call bottom anyones guess,Bullish,neg,0.2571277328101236,0.7428722671898745
SHLX soaring,Bullish,neg,0.3571428571428571,0.6428571428571429
STUDY Beware stocks continually disappoint downtrending Ex CYBR MBLY MNKD RWLK SCTY LOCO JMEI GPRO GLUU EYES SWHC,Bearish,neg,0.4102052211289285,0.589794778871073
AAPL Chaikin Money Flow stock Strong Selling pressure CMF Details httpstkscojVu,Bearish,pos,0.7352202011231669,0.2647797988768338
FB Details httpstkscoiUu,Bearish,pos,0.6863636363636365,0.3136363636363636
ANET Ciscos john chambers boot neck lawsuit,Bearish,neg,0.44238637250420876,0.5576136274957919
TWENTY Fox amp Small Business Folk realize Obama cant elected rd time amp rejoice get bullish America SPLS,Bullish,pos,0.9618651108128613,0.038134889187138574
MIK Showing good relative strength day moving average httpstkscofVBn,Bullish,pos,0.9078333017321941,0.0921666982678062
AAPL Weekly Cup n handle target When July timestamped httpstkscocRB,Bullish,pos,0.7882294098500552,0.21177059014994484
YHOO Tax news could come anytime,Bullish,neg,0.41886069901797957,0.581139300982021
Not surprising IV rising We still trend though Im looking bullish income trades SPX httpstkscobRAw,Bullish,neg,0.12647203521629174,0.8735279647837089
quotSL The hottest IPOs KITE TUBE GPRO ETC httpstkscodRquot,Bullish,neg,0.4136599556498282,0.5863400443501705
Strong despite market action today also TUBE quotupsidetrader KITE area top channel breaking flag httpstkscocRBquot,Bullish,pos,0.9830805490651888,0.01691945093481164
WDC Long since  need I say more,Bullish,neg,0.4873353969725587,0.5126646030274411
GLUU anyone think mobile gaming lousy business Show company space whos stock kicking butt,Bearish,neg,0.09232921695149446,0.9076707830485082
FB httpstkscodR quot global growth percent It projects percent growth US next yearquot FB buy point,Bullish,neg,0.39590719109741757,0.6040928089025828
FB Expect Market continue its march higher Let bears make hand weak hesitate lose,Bullish,pos,0.769640729755895,0.23035927024410396
UGAZ Mark words Ugaz s end Feb Or mids march Uncle nasa doesnt lie weather changes hours cold air pressure wild,Bullish,pos,0.6738596382351588,0.3261403617648362
AAPL iWatch going steamroll Samsung They lost couldnt copy Apple released bum gadget fail,Bullish,pos,0.5349441010393569,0.46505589896064065
FB What company stands gain growing global economy FB More money AD spent FB get,Bullish,pos,0.5461956974272517,0.4538043025727496
BCRX sales basically bonus start business thats reward plenty involvement,Bullish,pos,0.6500562637957497,0.34994373620424774
KNDI Will see soon,Bullish,pos,0.602487211297225,0.39751278870277496
AAPL Apple outperform GoogleIn timestamped gprimpEnterprises,Bullish,pos,0.8157894736842115,0.18421052631578924
stocktwits make inov page They cloud based data analytics company healthcare industry ims data bnft cslt,Bullish,neg,0.2821495948079007,0.7178504051920982
AAPL Colin Gillis bum Fade,Bearish,pos,0.8511904761904773,0.1488095238095241
VIX I mean I know bit abt animal avg CMT even I didnt see pt move coming SPX decline SPY,Bearish,neg,0.26329823399759433,0.7367017660024056
inov IPO hot cloud based data analytics healthcare industry Similar veev ims bnft hqy,Bullish,pos,0.8625252494638339,0.13747475053616828
GILD Best performing stock sector lowest PE Really get easier investor,Bullish,neg,0.09426340162580028,0.9057365983742015
UGAZ bot really thought would low day looking scalp friday unless magic happens,Bullish,neg,0.04296835512891932,0.9570316448710792
BBRY Kofi nonsense BS SA must desperate,Bullish,neg,0.21867368654229694,0.7813263134577028
Going ADMA CYTR IDRA ALXN MHR NPSP RMTI STML ISR LPCN VIPS DARA MSTX TTOO,Bullish,pos,0.7262001627339302,0.2737998372660699
CPRX Way overweight Will lighten position tomorrow almost half since news Selling break even slightly positive positions,Bullish,pos,0.9771497334292515,0.022850266570745587
CPRX Will remain largest position Keeping shares,Bullish,pos,0.783113235393946,0.21688676460605327
NZDUSD Time BreakEven If shorted pair Price reached extension expected If trade httpstkscosDZO,Bearish,pos,0.8360867759601546,0.16391322403984754
DomLuminous puts I sell V naked puts,Bullish,neg,0.3006690761845261,0.6993309238154746
DSKY DSKY banner monster,Bullish,neg,0.34210526315789447,0.6578947368421049
HAPPY NEW YEAR TO ALL I want Millionaire BAA PAL JCP OIBR APP DUST NUGT httpstkscorDsp,Bullish,pos,0.5440531698885667,0.4559468301114356
GILD Wednesdays shorts httpstkscoaRC,Bullish,neg,0.25,0.7500000000000009
SLV even nastier looking GLD,Bearish,neg,0.46022235013174917,0.5397776498682506
PLUG happy newyear friends big things happening us godbless watching Elton john singing still standing,Bullish,pos,0.7419659274934263,0.258034072506575
PLUG still standing yeah yeah yeah,Bullish,pos,0.6781114480392635,0.321888551960736
AAPL Viernes Friday Paraskevi Greek,Bullish,pos,0.8473684210526314,0.1526315789473682
ARIA Happy New Year everyone,Bullish,pos,0.9096750001176154,0.09032499988238439
